granule_uid,obs_id,detection_type,mass,period,star_spec_type,semi_major_axis,radius
14 Her b,77,Radial Velocity,9.1,1763.3,K0 V,2.845,
14 Her c,309,Radial Velocity,6.9,52596.0,K0 V,27.4,
55 Cnc b,25,Radial Velocity,0.84,14.65314,K0IV-V,0.11339,
51 Eri b,2428,Imaging,2.6,10260.0,F0IV,11.1,1.11
51 Peg b,12,Radial Velocity,0.47,4.2308,G2 IV,0.052,1.9
55 Cnc e,243,Primary Transit,0.02703,0.7365478,K0IV-V,0.015439,0.1737
AU Mic b,7424,Primary Transit,0.0368,8.463,M1V,0.0645,0.3908
AU Mic c,7546,Primary Transit,0.0698,18.859019,M1V,0.1101,0.3131
BD+20 594 b,2546,Primary Transit,0.07,41.6855,G,0.241,0.23
CD Cet b,7415,Radial Velocity,0.01244,2.2907,M5.0,0.0185,
CI Tau b,3941,Radial Velocity,11.6,8.9891,K4IV,,
CoRoT-1 b,401,Primary Transit,1.03,1.50896848,G0V,0.0254,1.49
CoRoT-10 b,662,Primary Transit,2.75,13.2406,K1V,0.1055,0.97
CoRoT-11 b,645,Primary Transit,2.33,2.994325,F6V,0.04351,1.43
CoRoT-12 b,649,Primary Transit,0.917,2.8280517,G2V,0.04016,1.44
CoRoT-13 b,651,Primary Transit,1.308,4.0350906,G0V,0.051,0.885
CoRoT-14 b,652,Primary Transit,7.6,1.51214,F9V,0.027,1.09
CoRoT-16 b,702,Primary Transit,0.535,5.35227,G5V,0.0618,1.17
CoRoT-17 b,703,Primary Transit,2.43,3.768125,G2V,0.0461,1.02
CoRoT-18 b,704,Primary Transit,3.47,1.90009057,G9V,0.0295,1.31
CoRoT-19 b,705,Primary Transit,1.11,3.8971372,F9V,0.0518,1.29
CoRoT-2 b,415,Primary Transit,3.31,1.7429964,G7V,0.0281,1.465
CoRoT-20 b,826,Primary Transit,4.24,9.2431839,G2V,0.0902,0.84
CoRoT-22 b,847,Primary Transit,0.06,9.75598,G0IV,0.092,0.4354
CoRoT-23 b,862,Primary Transit,2.8,3.6314,G0V,0.0477,1.08
CoRoT-24 b,855,Primary Transit,0.018,5.1134,K1V,0.056,0.33
CoRoT-24 c,856,Primary Transit,0.088,11.759,K1V,0.098,0.44
CoRoT-25 b,1240,Primary Transit,0.27,4.86069,G0V,0.0578,1.08
CoRoT-26 b,1243,Primary Transit,0.52,4.20474,G8IV,0.0526,1.26
CoRoT-29 b,1210,Primary Transit,0.85,2.85057,KOV,0.039,0.9
CoRoT-30 b,1211,Primary Transit,2.9,9.06005,G3V,0.0844,1.009
